"city","date","day.of.week","time","time.hour","lat","lng","subject.age","subject.race","subject.sex","violation","vehicle.make","outcome"
"chicago","2018-10-04","Thursday","04:20:00",4.33333333333333,41.8799700000001,-87.6471119999999,47,"black","male","DISOBEY RED CIRCULAR STEADY SIGNAL STOP","chevrolet",NA
"chicago","2019-01-14","Monday","02:01:00",2.01666666666667,41.8807590000001,-87.67165435,43,"hispanic","male","LIGHT, LICENSE PLATE","honda",NA
"chicago","2020-02-14","Friday","18:20:00",18.3333333333333,41.908866951,-87.665951971,33,"black","male","STOP AT STOP SIGN","chevrolet",NA
"chicago","2018-06-05","Tuesday","22:36:00",22.6,41.93883,-87.7468285619999,52,"hispanic","male","HEADLIGHT TWO REQUIRED-MOTOR VEHICLE","other",NA
"chicago","2019-06-27","Thursday","21:32:00",21.5333333333333,41.8824006130001,-87.62948886,27,"white","male","HEADLIGHT TWO REQUIRED-MOTOR VEHICLE","ford",NA
"chicago","2019-10-28","Monday","04:24:00",4.4,41.88099936,-87.74522214,25,"white","female","OPERATE UNINSURED MTR VEHICLE","toyota",NA
"chicago","2020-02-09","Sunday","19:20:00",19.3333333333333,41.8809020830001,-87.647285893,32,"black","male","SEAT SAFETY BELT-FRONT SEAT","other",NA
"chicago","2018-08-22","Wednesday","20:18:00",20.3,41.881461748,-87.647294909,22,"hispanic","male","HEAD/TAIL/SIDELIGHT/3RD+/1YR","honda",NA
"chicago","2018-02-07","Wednesday","22:35:00",22.5833333333333,41.750896401,-87.624292401,31,"black","female","DRIVING WHILE USING CELLULAR PHONE PROHIBITED","chevrolet",NA
"chicago","2019-08-12","Monday","11:24:00",11.4,41.8799150230001,-87.6472404579999,57,"black","female","LIGHT, TAIL LIGHTS REQUIRED","other",NA
"chicago","2020-01-05","Sunday","20:20:00",20.3333333333333,41.988375558,-87.7779404999999,73,"hispanic","male","LIGHT, LICENSE PLATE","ford",NA
"chicago","2018-11-08","Thursday","18:51:00",18.85,41.7692593350001,-87.626884916,26,"black","male","STOP AT STOP SIGN","other",NA
"chicago","2019-10-24","Thursday","22:01:00",22.0166666666667,41.736386366,-87.625684441,48,"black","female","DISOBEY RED CIRCULAR STEADY SIGNAL STOP","other",NA
"chicago","2018-08-29","Wednesday","14:19:00",14.3166666666667,41.803038073,-87.586488,22,"black","female","STOP AT STOP SIGN","ford",NA
"chicago","2019-08-20","Tuesday","18:20:00",18.3333333333333,41.880938545,-87.647286998,27,"black","female","DISOBEY RED CIRCULAR STEADY SIGNAL STOP","other",NA
"chicago","2018-09-22","Saturday","19:35:00",19.5833333333333,41.8807273040001,-87.688796881,54,"hispanic","male","DISPLAY ST REG-FRONT/REAR","ford",NA
"chicago","2019-07-08","Monday","00:02:00",0.0333333333333333,41.9661865250001,-87.84985767,29,"white","male","HEADLIGHT TWO REQUIRED-MOTOR VEHICLE","toyota",NA
"chicago","2018-08-31","Friday","10:29:00",10.4833333333333,41.71815,-87.5432197,32,"white","female","IVC - DRIVING 21-25 MPH ABOVE SPEED LIMIT","other",NA
"chicago","2019-09-08","Sunday","22:28:00",22.4666666666667,41.707323,-87.623226,67,"black","male","HEADLIGHT TWO REQUIRED-MOTOR VEHICLE","ford",NA
"chicago","2019-02-17","Sunday","21:08:00",21.1333333333333,41.9112587910001,-87.630894,55,"black","male","IVC - NO STOP LIGHTS/ 1ST AND 2ND","other",NA
"chicago","2018-07-05","Thursday","06:03:00",6.05,41.9038692180001,-87.628954218,56,"white","male","COMPLIANCE-REQUIRED","toyota",NA
"chicago","2018-09-03","Monday","17:58:00",17.9666666666667,41.880556104,-87.671645349,24,"black","female","STOP AT STOP SIGN","other",NA
"chicago","2019-02-18","Monday","11:06:00",11.1,41.9025740320001,-87.723838214,19,"hispanic","male","VEH PARKED/STANDING ON PUBLIC WAY W/TINTED WINDOWS","honda",NA
"chicago","2019-05-25","Saturday","09:39:00",9.65,41.8820752880001,-87.629714321,49,"black","male","REGISTRATION PLATES","chevrolet",NA
"chicago","2019-02-22","Friday","18:42:00",18.7,41.7208961520001,-87.585130482,50,"black","male","OPERATOR SIGNAL REQUIRED 100FT OF TURN","other",NA
"chicago","2019-06-24","Monday","00:55:00",0.916666666666667,41.8801597500001,-87.686337889,67,"black","female","HEADLIGHT TWO REQUIRED-MOTOR VEHICLE","other",NA
"chicago","2018-11-13","Tuesday","16:50:00",16.8333333333333,41.882331396,-87.624543984,32,"black","female","DISPLAY ST REG-FRONT/REAR","toyota",NA
"chicago","2019-01-14","Monday","16:09:00",16.15,41.880316936,-87.7549979999999,29,"black","male","NO VALID REGISTRATION","other",NA
"chicago","2018-07-05","Thursday","02:15:00",2.25,41.80929504,-87.6272876459999,21,"hispanic","male","OBSTRUCTION DRIVERS VIEW","chevrolet",NA
"chicago","2018-01-05","Friday","19:25:00",19.4166666666667,41.9780411240001,-87.824168831,27,"white","male","STOP AT STOP SIGN","other",NA
"chicago","2018-03-31","Saturday","21:39:00",21.65,41.852025493,-87.6990655319999,32,"hispanic","female","HEADLIGHT TWO REQUIRED-MOTOR VEHICLE","other",NA
"chicago","2018-06-04","Monday","23:05:00",23.0833333333333,42.0185767770001,-87.820911907,46,"black","male","EXPIRATION OF REGISTRATION","ford",NA
"chicago","2019-03-22","Friday","19:53:00",19.8833333333333,41.698759296,-87.6589890269999,38,"black","male","DISOBEY RED CIRCULAR STEADY SIGNAL STOP","other",NA
"chicago","2018-06-20","Wednesday","00:28:00",0.466666666666667,41.881923837,-87.629602402,45,"black","male","HEADLIGHT TWO REQUIRED-MOTOR VEHICLE","chevrolet",NA
"chicago","2019-11-09","Saturday","19:00:00",19,41.8808660110001,-87.7452205389999,34,"hispanic","male","HEADLIGHT TWO REQUIRED-MOTOR VEHICLE","other",NA
"chicago","2019-08-04","Sunday","06:54:00",6.9,41.882089803,-87.698714818,24,"hispanic","male","STOP AT STOP SIGN","honda",NA
"chicago","2018-03-21","Wednesday","20:23:00",20.3833333333333,41.882328,-87.68639364,27,"white","female","HEADLIGHT TWO REQUIRED-MOTOR VEHICLE","other",NA
"chicago","2018-06-09","Saturday","01:23:00",1.38333333333333,41.878267153,-87.6286552939999,34,"black","male","LIGHT HEADLIGHTS SUNSET/SUNUP","ford",NA
"chicago","2018-08-31","Friday","15:21:00",15.35,41.8804731160001,-87.693907815,54,"black","male","STOP AT STOP SIGN","toyota",NA
"chicago","2019-08-09","Friday","08:30:00",8.5,41.8555127240001,-87.627486475,42,"hispanic","female","STOP AT STOP SIGN","honda",NA
"chicago","2020-03-10","Tuesday","02:00:00",2,41.8811895370001,-87.7305186259999,51,"hispanic","male","HEADLIGHT TWO REQUIRED-MOTOR VEHICLE","honda",NA
"chicago","2018-05-11","Friday","17:04:00",17.0666666666667,41.867257249,-87.628518231,26,"black","female","DRIVING ON SUSPENDED LICENSE","other",NA
"chicago","2020-03-07","Saturday","09:00:00",9,41.8819521130001,-87.628640105,57,"black","male","OPERATE UNINSURED MTR VEH/3+","other",NA
"chicago","2020-03-12","Thursday","19:19:00",19.3166666666667,41.882090282,-87.629084313,20,"black","male","DISPLAY ST REG-REAR MOTRCYCL/TRLR/SEMI-TRLR","other",NA
"chicago","2018-08-15","Wednesday","01:38:00",1.63333333333333,41.88089405,-87.725597652,40,"black","male","IMPROPER LFT TURN-OTHR THAN 2 WAY","chevrolet",NA
"chicago","2019-09-05","Thursday","13:25:00",13.4166666666667,41.8806632660001,-87.701239863,58,"hispanic","male","STOP AT STOP SIGN","other",NA
"chicago","2018-12-15","Saturday","12:48:00",12.8,41.6853714450001,-87.6506647959999,20,"black","male","OPERATOR SIGNAL- MEANS","chevrolet",NA
"chicago","2018-01-19","Friday","17:22:00",17.3666666666667,41.772778069,-87.6268885389999,30,"black","male","HEADLIGHT TWO REQUIRED-MOTOR VEHICLE","other",NA
"chicago","2019-02-22","Friday","18:40:00",18.6666666666667,41.9661865250001,-87.84985767,44,"hispanic","male","HEADLIGHT TWO REQUIRED-MOTOR VEHICLE","other",NA
"chicago","2019-08-24","Saturday","20:45:00",20.75,41.816546972,-87.621407699,35,"white","male","IMPROPER LEFT TURN-2 WAY RDWY","other",NA
"chicago","2019-05-28","Tuesday","14:20:00",14.3333333333333,41.881000639,-87.659615349,34,"hispanic","male","LIGHT, TAIL LIGHTS REQUIRED","ford",NA
"chicago","2018-01-05","Friday","20:48:00",20.8,41.823789865,-87.626290373,38,"black","male","DISOBEY RED CIRCULAR STEADY SIGNAL STOP","chevrolet",NA
"chicago","2020-01-26","Sunday","11:19:00",11.3166666666667,41.9164381040001,-87.643611,50,"white","female","NO TURN SIGNALS-VIOLATION","other",NA
"chicago","2019-10-08","Tuesday","23:50:00",23.8333333333333,41.879857416,-87.7060194629999,44,"black","male","OBSTRUCTION DRIVERS VIEW","other",NA
"chicago","2019-07-06","Saturday","21:20:00",21.3333333333333,41.9074426500001,-87.638466547,20,"black","male","HEADLIGHT TWO REQUIRED-MOTOR VEHICLE","other",NA
"chicago","2018-08-19","Sunday","23:43:00",23.7166666666667,41.7001411140001,-87.608183423,30,"black","female","HEADLIGHT TWO REQUIRED-MOTOR VEHICLE","other",NA
"chicago","2020-02-24","Monday","22:04:00",22.0666666666667,41.882079316,-87.629496149,56,"black","male","DRIVE TO LEFT OF CENTER","toyota",NA
"chicago","2018-04-04","Wednesday","01:23:00",1.38333333333333,41.881338,-87.72534,36,"black","female","DISPLAY ST REG-REAR MOTRCYCL/TRLR/SEMI-TRLR","other",NA
"chicago","2019-05-09","Thursday","20:41:00",20.6833333333333,41.7777706310001,-87.625418988,20,"black","male","STOP AT STOP SIGN","other",NA
"chicago","2018-12-23","Sunday","19:37:00",19.6166666666667,41.88030117,-87.66684786,31,"black","male","HEADLIGHT TWO REQUIRED-MOTOR VEHICLE","other",NA
"chicago","2019-11-10","Sunday","09:33:00",9.55,41.882079316,-87.629496149,34,"black","female","BROKEN OR INOPERABLE LAMPS/BROKEN OR CRACKED GLASS","honda",NA
"chicago","2019-08-17","Saturday","10:23:00",10.3833333333333,41.882328,-87.68650836,47,"white","male","DIMMING HEADLIGHTS REQUIRED","other",NA
"chicago","2019-08-29","Thursday","06:50:00",6.83333333333333,41.93883,-87.7468285619999,25,"hispanic","male","NO TURN SIGNALS-VIOLATION","other",NA
"chicago","2019-09-30","Monday","20:59:00",20.9833333333333,41.944258109,-87.6453776339999,39,"hispanic","female","DRIVING WHILE USING CELLULAR PHONE PROHIBITED","other",NA
"chicago","2019-12-03","Tuesday","11:00:00",11,41.8805541890001,-87.6571777729999,29,"black","male","LIGHT, TAIL LIGHTS REQUIRED","other",NA
